time,packet_id,status
2026-04-07 19:59:07.711388,0,ATTACK
2026-04-07 19:59:07.711394,1,ATTACK
2026-04-07 19:59:07.711395,2,ATTACK
2026-04-07 19:59:07.711396,3,ATTACK
2026-04-07 19:59:07.711397,4,BENIGN
2026-04-07 19:59:07.711398,5,ATTACK
2026-04-07 19:59:07.711399,6,ATTACK
2026-04-07 19:59:07.711400,7,ATTACK
2026-04-07 19:59:07.711401,8,ATTACK
2026-04-07 19:59:07.711402,9,ATTACK
2026-04-07 19:59:07.711403,10,BENIGN
2026-04-07 19:59:07.711404,11,ATTACK
2026-04-07 19:59:07.711405,12,ATTACK
2026-04-07 19:59:07.711405,13,ATTACK
2026-04-07 19:59:07.711406,14,ATTACK
2026-04-07 19:59:07.711407,15,ATTACK
2026-04-07 19:59:07.711408,16,ATTACK
2026-04-07 19:59:07.711409,17,ATTACK
2026-04-07 19:59:07.711410,18,ATTACK
2026-04-07 19:59:07.711411,19,ATTACK
2026-04-07 19:59:07.711411,20,ATTACK
2026-04-07 19:59:07.711412,21,ATTACK
2026-04-07 19:59:07.711413,22,ATTACK
2026-04-07 19:59:07.711414,23,ATTACK
2026-04-07 19:59:07.711415,24,ATTACK
2026-04-07 19:59:07.711416,25,ATTACK
2026-04-07 19:59:07.711417,26,ATTACK
2026-04-07 19:59:07.711417,27,ATTACK
2026-04-07 19:59:07.711418,28,ATTACK
2026-04-07 19:59:07.711419,29,ATTACK
2026-04-07 19:59:07.711420,30,ATTACK
2026-04-07 19:59:07.711421,31,ATTACK
2026-04-07 19:59:07.711422,32,ATTACK
2026-04-07 19:59:07.711423,33,ATTACK
2026-04-07 19:59:07.711424,34,ATTACK
2026-04-07 19:59:07.711424,35,ATTACK
2026-04-07 19:59:07.711425,36,ATTACK
2026-04-07 19:59:07.711426,37,ATTACK
2026-04-07 19:59:07.711427,38,ATTACK
2026-04-07 19:59:07.711428,39,ATTACK
2026-04-07 19:59:07.711429,40,ATTACK
2026-04-07 19:59:07.711430,41,ATTACK
2026-04-07 19:59:07.711431,42,ATTACK
2026-04-07 19:59:07.711431,43,ATTACK
2026-04-07 19:59:07.711432,44,ATTACK
2026-04-07 19:59:07.711433,45,ATTACK
2026-04-07 19:59:07.711434,46,ATTACK
2026-04-07 19:59:07.711435,47,ATTACK
2026-04-07 19:59:07.711436,48,ATTACK
2026-04-07 19:59:07.711437,49,ATTACK
2026-04-07 20:12:10.813006,0,BENIGN
2026-04-07 20:12:10.813014,1,BENIGN
2026-04-07 20:12:10.813015,2,ATTACK
2026-04-07 20:12:10.813016,3,BENIGN
2026-04-07 20:12:10.813017,4,ATTACK
2026-04-07 20:12:10.813018,5,ATTACK
2026-04-07 20:12:10.813019,6,BENIGN
2026-04-07 20:12:10.813020,7,ATTACK
2026-04-07 20:12:10.813021,8,BENIGN
2026-04-07 20:12:10.813022,9,BENIGN
2026-04-07 20:12:10.813023,10,BENIGN
2026-04-07 20:12:10.813024,11,ATTACK
2026-04-07 20:12:10.813025,12,BENIGN
2026-04-07 20:12:10.813026,13,BENIGN
2026-04-07 20:12:10.813026,14,ATTACK
2026-04-07 20:12:10.813027,15,BENIGN
2026-04-07 20:12:10.813028,16,BENIGN
2026-04-07 20:12:10.813029,17,BENIGN
2026-04-07 20:12:10.813030,18,ATTACK
2026-04-07 20:12:10.813031,19,ATTACK
2026-04-07 20:12:10.813032,20,BENIGN
2026-04-07 20:12:10.813033,21,BENIGN
2026-04-07 20:12:10.813034,22,ATTACK
2026-04-07 20:12:10.813035,23,ATTACK
2026-04-07 20:12:10.813035,24,BENIGN
2026-04-07 20:12:10.813036,25,ATTACK
2026-04-07 20:12:10.813037,26,BENIGN
2026-04-07 20:12:10.813038,27,ATTACK
2026-04-07 20:12:10.813039,28,BENIGN
2026-04-07 20:12:10.813040,29,ATTACK
2026-04-07 20:12:10.813041,30,BENIGN
2026-04-07 20:12:10.813042,31,ATTACK
2026-04-07 20:12:10.813043,32,BENIGN
2026-04-07 20:12:10.813044,33,ATTACK
2026-04-07 20:12:10.813045,34,BENIGN
2026-04-07 20:12:10.813046,35,ATTACK
2026-04-07 20:12:10.813047,36,BENIGN
2026-04-07 20:12:10.813047,37,BENIGN
2026-04-07 20:12:10.813048,38,BENIGN
2026-04-07 20:12:10.813049,39,ATTACK
2026-04-07 20:12:10.813050,40,ATTACK
2026-04-07 20:12:10.813051,41,ATTACK
2026-04-07 20:12:10.813052,42,BENIGN
2026-04-07 20:12:10.813053,43,ATTACK
2026-04-07 20:12:10.813054,44,BENIGN
2026-04-07 20:12:10.813055,45,ATTACK
2026-04-07 20:12:10.813055,46,BENIGN
2026-04-07 20:12:10.813056,47,BENIGN
2026-04-07 20:12:10.813057,48,ATTACK
2026-04-07 20:12:10.813058,49,ATTACK
